Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Arizona Diamondbacks,0.249,0.317,0.406,0.723,0.286,2.9%,19.4%,8.1%,87.7,37.9%,24.4%,40.0%,28.0%,0.68,-1.8,-0.9%,-11.8
Atlanta Braves,0.230,0.303,0.354,0.657,0.293,2.3%,25.5%,8.5%,87.6,37.1%,24.0%,43.4%,25.3%,0.78,10.1,6.2%,92.7
Baltimore Orioles,0.255,0.316,0.414,0.730,0.295,3.0%,20.4%,7.4%,88.7,39.6%,24.7%,41.8%,25.7%,0.73,7.8,2.6%,60.8
Boston Red Sox,0.250,0.321,0.405,0.725,0.298,2.8%,22.0%,8.4%,88.8,40.9%,24.9%,42.5%,23.6%,0.75,6.3,2.5%,17.2
Chicago Cubs,0.250,0.323,0.424,0.748,0.297,3.4%,22.6%,8.8%,88.2,39.4%,24.3%,43.2%,25.7%,0.77,1.7,-0.1%,-23.9
Chicago White Sox,0.244,0.316,0.395,0.710,0.298,2.8%,23.7%,9.1%,88.3,38.9%,23.5%,42.4%,26.8%,0.74,4.6,1.7%,35.9
Cincinnati Reds,0.253,0.336,0.434,0.771,0.301,3.5%,22.9%,9.7%,88.6,39.2%,23.8%,38.7%,28.7%,0.64,-1.4,-1.0%,-36.6
Cleveland Guardians,0.242,0.308,0.397,0.704,0.286,3.0%,22.0%,7.8%,88.6,39.9%,24.6%,41.8%,26.3%,0.73,3.8,1.9%,35.6
Colorado Rockies,0.275,0.342,0.446,0.788,0.315,2.8%,18.2%,8.7%,88.9,41.7%,26.0%,43.9%,24.3%,0.79,-3.2,-1.4%,-66.5
Detroit Tigers,0.245,0.313,0.387,0.700,0.284,2.6%,19.9%,8.5%,89.2,41.5%,23.5%,41.3%,27.4%,0.71,-2.1,-0.4%,-2.3
Houston Astros,0.209,0.280,0.332,0.612,0.259,2.4%,24.8%,7.8%,88.1,37.0%,23.1%,41.0%,26.8%,0.71,14.9,8.6%,137.5
Kansas City Royals,0.266,0.343,0.420,0.763,0.307,2.7%,18.9%,9.9%,88.6,40.9%,25.1%,43.6%,24.0%,0.79,-2.9,-0.1%,-43.3
Los Angeles Angels,0.236,0.309,0.385,0.694,0.285,2.8%,23.1%,8.7%,88.3,38.4%,24.0%,41.6%,26.8%,0.72,1.5,0.4%,41.3
Los Angeles Dodgers,0.216,0.278,0.351,0.629,0.266,2.4%,24.5%,6.8%,86.5,33.5%,22.3%,42.3%,26.0%,0.75,11.6,6.8%,150.5
Miami Marlins,0.237,0.309,0.399,0.709,0.289,2.7%,23.5%,8.3%,87.7,36.9%,23.5%,45.3%,24.1%,0.84,1.9,0.5%,33.1
Milwaukee Brewers,0.235,0.308,0.388,0.697,0.292,2.9%,25.1%,8.8%,87.2,37.0%,23.2%,43.5%,25.3%,0.78,4.8,3.7%,33.8
Minnesota Twins,0.239,0.306,0.406,0.712,0.279,3.3%,22.1%,8.0%,88.3,38.4%,23.4%,40.4%,28.3%,0.69,3.0,1.8%,29.8
New York Mets,0.234,0.300,0.378,0.679,0.292,3.0%,25.6%,7.5%,87.8,38.1%,22.5%,43.5%,25.9%,0.78,9.7,6.4%,73.2
New York Yankees,0.219,0.282,0.358,0.639,0.269,2.7%,25.0%,7.2%,87.5,36.5%,22.5%,44.4%,24.3%,0.81,12.5,8.8%,138.2
Oakland Athletics,0.245,0.316,0.415,0.730,0.283,3.1%,20.1%,8.3%,88.3,39.0%,22.9%,41.9%,26.6%,0.73,-0.7,0.0%,-6.8
Philadelphia Phillies,0.237,0.306,0.381,0.687,0.292,2.6%,23.7%,7.8%,87.4,35.3%,23.2%,44.5%,25.4%,0.81,2.1,1.2%,41.3
Pittsburgh Pirates,0.264,0.338,0.427,0.765,0.310,2.8%,19.9%,8.9%,88.4,39.6%,25.3%,43.5%,23.5%,0.78,-1.2,-0.7%,-54.4
San Diego Padres,0.232,0.301,0.370,0.672,0.285,2.6%,24.0%,8.0%,88.2,38.6%,23.4%,42.7%,26.3%,0.76,6.4,4.4%,44.5
Seattle Mariners,0.238,0.303,0.404,0.706,0.278,3.4%,22.6%,7.8%,88.7,39.6%,24.4%,38.7%,28.6%,0.64,7.8,3.1%,67.6
San Francisco Giants,0.250,0.310,0.386,0.696,0.306,2.2%,22.3%,7.4%,87.6,38.1%,22.5%,47.8%,22.7%,0.94,1.4,1.0%,10.9
St. Louis Cardinals,0.243,0.313,0.386,0.698,0.281,2.7%,19.7%,8.3%,88.5,39.2%,23.0%,47.2%,23.8%,0.90,5.6,3.7%,56.0
Tampa Bay Rays,0.233,0.292,0.384,0.676,0.279,3.0%,23.2%,6.6%,87.5,36.4%,22.8%,41.6%,26.0%,0.72,8.2,5.2%,67.1
Texas Rangers,0.242,0.320,0.391,0.711,0.288,2.7%,21.7%,9.3%,88.4,38.2%,22.6%,45.2%,25.0%,0.85,-2.2,-1.1%,13.8
Toronto Blue Jays,0.245,0.306,0.407,0.713,0.292,3.2%,22.9%,7.1%,88.8,40.4%,25.7%,41.3%,25.2%,0.71,5.2,3.1%,49.2
Washington Nationals,0.268,0.341,0.449,0.790,0.303,3.9%,19.9%,9.1%,88.8,41.0%,22.3%,42.2%,27.9%,0.74,-9.4,-1.6%,-113.2
